,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-1503.5123291015625,-4469.611328125,-28080.697265625,-16114.265625,-24584.236328125,-39457.0859375,-44674.96484375,-46304.1171875,-9662.4794921875,-15028.708984375,-17542.251953125,-14070.9365234375,-26365.84765625,-37894.0078125,-6553.173828125,5367.03369140625
1,-1555.52490234375,-4340.0380859375,-27957.583984375,-16151.056640625,-24560.05078125,-39501.9921875,-44729.99609375,-46349.8046875,-10008.126953125,-14984.5869140625,-17682.21875,-14788.71875,-26714.9609375,-37841.5234375,-6585.6953125,5414.17333984375
2,-1520.678466796875,-4462.615234375,-28065.36328125,-16108.455078125,-24579.900390625,-39456.4140625,-44677.984375,-46306.734375,-9645.0458984375,-15014.404296875,-17496.2734375,-14015.90625,-26299.330078125,-37900.84765625,-6530.06201171875,5378.58935546875
3,-1562.8338623046875,-4346.89990234375,-27980.2265625,-16151.146484375,-24564.41015625,-39507.98046875,-44734.51171875,-46357.25,-10033.9208984375,-14980.7197265625,-17704.97265625,-14837.5341796875,-26783.244140625,-37836.62890625,-6608.60595703125,5406.685546875
4,-1556.5084228515625,-4477.568359375,-28057.00390625,-16126.4482421875,-24597.267578125,-39474.65625,-44696.06640625,-46322.984375,-9607.2041015625,-15029.1787109375,-17468.513671875,-13959.22265625,-26246.69140625,-37919.84375,-6511.95703125,5391.77685546875
5,-1565.6502685546875,-4367.12841796875,-27995.224609375,-16143.0771484375,-24560.408203125,-39501.27734375,-44723.76171875,-46345.51171875,-10040.1123046875,-14992.41015625,-17739.37109375,-14864.9150390625,-26836.84375,-37829.38671875,-6636.16552734375,5400.5166015625
6,-1543.1644287109375,-4453.205078125,-28017.306640625,-16119.5634765625,-24580.681640625,-39462.5859375,-44682.58984375,-46305.546875,-9585.9248046875,-15015.1865234375,-17447.123046875,-13948.001953125,-26196.064453125,-37905.62890625,-6482.07275390625,5398.7060546875
7,-1555.5919189453125,-4366.52490234375,-27994.91015625,-16111.29296875,-24520.33203125,-39472.53125,-44688.265625,-46310.6875,-10047.869140625,-15000.0537109375,-17736.533203125,-14856.689453125,-26840.21875,-37794.33984375,-6622.6650390625,5419.515625
8,-1566.656005859375,-4447.50537109375,-28003.068359375,-16136.9755859375,-24589.935546875,-39484.46875,-44701.921875,-46324.79296875,-9605.4833984375,-15008.279296875,-17419.25,-13960.228515625,-26163.654296875,-37900.66796875,-6458.9384765625,5415.1123046875
9,-1490.816650390625,-4367.15087890625,-28016.837890625,-16108.767578125,-24530.189453125,-39463.234375,-44682.8359375,-46303.08984375,-10034.8828125,-15002.7587890625,-17746.546875,-14821.396484375,-26843.103515625,-37799.14453125,-6635.875,5389.318359375
